Token,BIO1
Blockchain,B
"

",O
A,O
blockchain,B
is,O
a,O
distributed,B
ledger,I
with,O
growing,O
lists,O
of,O
records,O
(,O
blocks,B
),O
that,O
are,O
securely,B
linked,O
together,O
via,O
cryptographic,B
hashes,I
.,O
Each,O
block,B
contains,O
a,O
cryptographic,B
hash,I
of,O
the,O
previous,O
block,B
",",O
a,O
timestamp,B
",",O
and,O
transaction,B
data,I
(,O
generally,O
represented,O
as,O
a,O
Merkle,B
tree,I
",",O
where,O
data,B
nodes,I
are,O
represented,O
by,O
leaves,O
),O
.,O
Since,O
each,O
block,B
contains,O
information,O
about,O
the,O
previous,O
block,B
",",O
they,O
effectively,O
form,O
a,O
chain,B
(,O
compare,O
linked,O
list,O
data,O
structure,O
),O
",",O
with,O
each,O
additional,O
block,B
linking,O
to,O
the,O
ones,O
before,O
it,O
.,O
Consequently,O
",",O
blockchain,B
transactions,I
are,O
irreversible,B
in,O
that,O
",",O
once,O
they,O
are,O
recorded,O
",",O
the,O
data,O
in,O
any,O
given,O
block,B
can,O
not,O
be,O
altered,O
retroactively,O
without,O
altering,O
all,O
subsequent,O
blocks,B
.,O
"

",O
Blockchains,B
are,O
typically,O
managed,O
by,O
a,O
peer,B
-,I
to,I
-,I
peer,I
(,O
P2P,B
),O
computer,B
network,I
for,O
use,O
as,O
a,O
public,B
distributed,I
ledger,I
",",O
where,O
nodes,B
collectively,O
adhere,O
to,O
a,O
consensus,B
algorithm,I
protocol,O
to,O
add,O
and,O
validate,O
new,O
transaction,B
blocks,B
.,O
Although,O
blockchain,B
records,I
are,O
not,O
unalterable,O
",",O
since,O
blockchain,B
forks,B
are,O
possible,O
",",O
blockchains,B
may,O
be,O
considered,O
secure,B
by,O
design,O
and,O
exemplify,O
a,O
distributed,B
computing,I
system,I
with,O
high,O
Byzantine,B
fault,I
tolerance,I
.,O
[,O
5,O
],O
"

",O
A,O
blockchain,B
was,O
created,O
by,O
a,O
person,O
(,O
or,O
group,O
of,O
people,O
),O
using,O
the,O
name,O
(,O
or,O
pseudonym,O
),O
Satoshi,B
Nakamoto,I
in,O
2008,O
to,O
serve,O
as,O
the,O
public,B
distributed,I
ledger,I
for,O
bitcoin,B
cryptocurrency,I
transactions,I
",",O
based,O
on,O
previous,O
work,O
by,O
Stuart,B
Haber,I
",",O
W.,B
Scott,I
Stornetta,I
",",O
and,O
Dave,B
Bayer,I
.,O
[,O
6,O
],O
The,O
implementation,O
of,O
the,O
blockchain,B
within,O
bitcoin,B
made,O
it,O
the,O
first,O
digital,B
currency,I
to,O
solve,O
the,O
double,B
-,I
spending,I
problem,I
without,O
the,O
need,O
for,O
a,O
trusted,B
authority,B
or,O
central,B
server,I
.,O
The,O
bitcoin,B
design,I
has,O
inspired,O
other,O
applications,O
[,O
3,O
],O
[,O
2,O
],O
and,O
blockchains,B
that,O
are,O
readable,O
by,O
the,O
public,O
and,O
are,O
widely,O
used,O
by,O
cryptocurrencies,B
.,O
The,O
blockchain,B
may,O
be,O
considered,O
a,O
type,O
of,O
payment,B
rail,I
.,O
[,O
7,O
],O
"

",O
Private,B
blockchains,I
have,O
been,O
proposed,O
for,O
business,O
use,O
.,O
Computerworld,B
called,O
the,O
marketing,O
of,O
such,O
privatized,O
blockchains,B
without,O
a,O
proper,O
security,B
model,O
"""",O
snake,B
oil,I
"""",O
;,O
[,O
8,O
],O
however,O
",",O
others,O
have,O
argued,O
that,O
permissioned,B
blockchains,I
",",O
if,O
carefully,O
designed,O
",",O
may,O
be,O
more,O
decentralized,B
and,O
therefore,O
more,O
secure,B
in,O
practice,O
than,O
permissionless,O
ones,O
.,O
[,O
4,O
],O
[,O
9,O
],O
"

",O
History,O
"

",O
Bitcoin,B
",",O
Ethereum,B
and,O
Litecoin,B
transactions,B
per,O
day,O
(,O
January,O
2011,O
–,O
January,O
2021,O
),O
"

",O
Cryptographer,B
David,B
Chaum,I
first,O
proposed,O
a,O
blockchain,B
-,I
like,I
protocol,I
in,O
his,O
1982,O
dissertation,O
"""",O
Computer,O
Systems,O
Established,O
",",O
Maintained,O
",",O
and,O
Trusted,B
by,O
Mutually,O
Suspicious,O
Groups,O
.,O
"""",O
[,O
10,O
],O
Further,O
work,O
on,O
a,O
cryptographically,O
secured,O
chain,B
of,O
blocks,B
was,O
described,O
in,O
1991,O
by,O
Stuart,B
Haber,I
and,O
W.,B
Scott,I
Stornetta,I
.,O
[,O
4,O
],O
[,O
11,O
],O
They,O
wanted,O
to,O
implement,O
a,O
system,O
wherein,O
document,B
timestamps,I
could,O
not,O
be,O
tampered,B
with,O
.,O
In,O
1992,O
",",O
Haber,B
",",O
Stornetta,B
",",O
and,O
Dave,B
Bayer,I
incorporated,O
Merkle,B
trees,I
into,O
the,O
design,O
",",O
which,O
improved,O
its,O
efficiency,O
by,O
allowing,O
several,O
document,O
certificates,O
to,O
be,O
collected,O
into,O
one,O
block,B
.,O
[,O
4,O
],O
[,O
12,O
],O
Under,O
their,O
company,O
Surety,B
",",O
their,O
document,O
certificate,B
hashes,O
have,O
been,O
published,O
in,O
The,B
New,I
York,I
Times,I
every,O
week,O
since,O
1995,O
.,O
[,O
13,O
],O
"

",O
The,O
first,O
decentralized,B
blockchain,I
was,O
conceptualized,O
by,O
a,O
person,O
(,O
or,O
group,O
of,O
people,O
),O
known,O
as,O
Satoshi,B
Nakamoto,I
in,O
2008,O
.,O
Nakamoto,B
improved,O
the,O
design,O
in,O
an,O
