Words;Status
3d printing;Term
3d printing materials;Term
3d printing technology;Term
4d printing;Term
abrasion;Term
abrasive;Term
abrasive wear;Term
absorb energy;Term
absorption;Term
acoustic emission testing;Term
acoustic waves;Term
actuators;Term
additive manufacturing;Term
adhesion;Term
adhesive wear;Term
adhesives;Term
advanced ceramics;Term
aerospace;Term
aging;Term
Agop;Named Entity
air;Term
Al2O3;Term
ALD;Abb
alloy;Term
alloying elements distribution;Term
alloys;Term
aluminum;Term
aluminum oxide;Term
amorphous metals;Term
anisotropy;Term
annealing;Term
anode;Term
aqueous environment;Term
atmosphere;Term
atomic layer deposition;Term
atoms;Term
austenite;Term
austenitizing;Term
automotive;Term
bainite;Term
ball mill;Term
basalt;Term
batteries;Term
bendable;Term
bending;Term
big data;Term
bio-composites;Term
bio-lubricants;Term
bio-tribology;Term
bioactive glasses;Term
biochar;Term
biocompatible;Term
biodegradable;Term
biodegradable polymers;Term
biological;Term
biological activity;Term
biological systems;Term
biological tissues;Term
biologically active substances;Term
biomaterials;Term
biomedical;Term
biomedical implants;Term
biotribology;Term
boiling point;Term
boundary lubrication;Term
brazing;Term
brittle;Term
brittleness;Term
building exteriors;Term
bulk metallic glasses;Term
CAD;Abb
calorimetry;Term
capacitive coupling;Term
capacitors;Term
carbamide;Term
carbamide electrolyte;Term
carbide;Term
carbide phase;Term
carbide phases;Term
carbides;Term
carbides particles;Term
carbon;Term
carbon atoms;Term
carbon fiber reinforced plastic;Term
carbon fibers;Term
carbon nanotubes;Term
carburizing;Term
casting;Term
catalysis;Term
cathode;Term
cellular structure;Term
cementite;Term
ceramic;Term
ceramic coatings;Term
ceramic fibers;Term
ceramic matrix;Term
ceramic matrix composites;Term
ceramics;Term
CFRP;Abb
Chacón;Named Entity
Charles-Augustin de Coulomb;Named Entity
chemical;Term
chemical analysis;Term
chemical reactions;Term
chemical vapor deposition;Term
chemical wear;Term
chemical-thermal treatment;Term
chemicals;Term
chemistry;Term
chromium;Term
cladding;Term
CMCs;Abb
CNTs;Abb
coating;Term
coating adhesion;Term
coatings;Term
cold rolling;Term
cold spray technology;Term
cold welding;Term
cold working;Term
colloidal solution;Term
composite materials;Term
compounds;Term
compression;Term
compressive;Term
computer-aided design;Term
conduct heat;Term
conducting polymers;Term
conductive inks;Term
conductive materials;Term
conductivity;Term
conductor;Term
copper;Term
corrode;Term
corrosion;Term
corrosion resistance;Term
corrosion-resistant;Term
corrosive wear;Term
CPFEM;Abb
cracks;Term
creep;Term
creep resistance;Term
critical resolved shear stress;Term
CRSS;Abb
crucial;Term
cryo-milling;Term
cryogenic temperatures;Term
cryogenic treatment;Term
crystal;Term
crystal growth;Term
crystal lattice;Term
crystal plasticity finite element method;Term
crystal structure;Term
crystal structures;Term
crystalline;Term
crystalline layers;Term
crystalline material;Term
crystalline solids;Term
crystalline structure;Term
crystalline substance;Term
crystallites;Term
crystallographic structure;Term
crystallographic texture;Term
crystals;Term
cubic crystal structure;Term
cutting tools;Term
CVD;Abb
cylindrical nanostructures;Term
data topology;Term
David Tabor;Named Entity
DBTT;Abb
defects;Term
definitions electrolyte plasma nitriding;Term
deformation;Term
deformation mechanisms;Term
deformed;Term
deformed grains;Term
dendritic solidification;Term
density;Term
density functional theory;Term
dental implants;Term
deposited;Term
desiccation;Term
detonation nanostructures coating;Term
detonation spraying behavior;Term
detonation waves;Term
DFT;Abb
diamond;Term
DIC;Abb
dielectric constant;Term
dielectric materials;Term
diffraction patterns;Term
diffusion;Term
diffusion bonding;Term
diffusion saturation process;Term
digital image correlation;Term
digital twin technology in materials science;Term
dimension;Term
direct metal laser sintering;Term
direct write technologies;Term
dislocation density;Term
dislocation dynamics;Term
dislocation hardening;Term
dislocation substructures;Term
dislocations;Term
disposal;Term
divertor candidate materials;Term
DMA;Abb
DMLS;Abb
doping;Term
drill bits;Term
ductile;Term
ductile-to-brittle transition temperature;Term
ductility;Term
dynamic mechanical analysis;Term
EBSD;Abb
ECAs;Abb
Echávarri;Named Entity
eddy current testing;Term
EDS;Abb
EDX;Abb
EIS;Abb
elastic;Term
elasticity;Term
electric charge;Term
electric current;Term
electric field;Term
electric polarization;Term
electrical;Term
electrical conductivity;Term
electrical fields;Term
electrical impedance;Term
electrical voltage;Term
electrically conductive adhesives;Term
electricity;Term
electrochemical;Term
electrochemical impedance spectroscopy;Term
electrocorundum abrasive;Term
electrolyte plasma nitriding;Term
electrolytic;Term
electrolytic-plasma nitriding;Term
electromagnetic fields;Term
electromagnetic induction;Term
electromagnetic radiation;Term
electromagnetic shielding;Term
electromechanical;Term
electron;Term
electron and ion beams;Term
electron backscatter diffraction;Term
electron beam processing;Term
electron microscopy;Term
electron probe microanalysis;Term
electronic;Term
electronic assemblies;Term
electronic structure;Term
electronic textiles;Term
electronics;Term
electrons;Term
electrophoretic deposition;Term
electrospinning;Term
electrostatic force;Term
electrostatic mechanisms;Term
elemental composition mapping;Term
elongation;Term
emit light;Term
energy;Term
energy dispersive x-ray spectroscopy;Term
energy-dispersive x-ray spectroscopy;Term
engineering;Term
EPMA;Abb
erosion;Term
eutectic systems;Term
fabric;Term
fabricating;Term
face-centered;Term
face-centered cubic iron;Term
fatigue;Term
fatigue life;Term
fcc crystal lattice;Term
fd3m spatial group;Term
fe3c;Term
ferrite;Term
ferrite-pearlite structure;Term
ferroelectric materials;Term
ferromagnetic;Term
ferromagnetism;Term
ferrous alloy;Term
FGMs;Abb
FIB;Abb
fiber reinforced composites;Term
fibers;Term
filler metal;Term
film;Term
filtration;Term
fine-grained microstructure;Term
fire resistance;Term
flat-panel displays;Term
flaws;Term
flexible displays;Term
flexible electronics materials;Term
flexible substrates;Term
fluid;Term
fluid film;Term
fluids;Term
fluorescence;Term
focused ion beam (fib) milling;Term
forging;Term
fourth dimension;Term
fractal dimension;Term
fractography;Term
fracture mechanics;Term
fracturing;Term
Frank Philip Bowden;Named Entity
frequencies;Term
friction;Term
functionally graded materials;Term
fusion energy;Term
fusion reactions;Term
fusion reactor materials;Term
fusion reactors;Term
galvanic corrosion;Term
gamma rays;Term
gas;Term
gas phase synthesis of nanoparticles;Term
gas stream;Term
gases;Term
glass transition temperature;Term
glasses;Term
glassy;Term
gradient coatings;Term
grain;Term
grain boundaries;Term
grain boundary engineering;Term
grain growth;Term
grain growth inhibitors;Term
grain refinement;Term
grains;Term
graphene;Term
graphite;Term
green tribology;Term
grinding;Term
Guerra;Named Entity
Guillaume Amontons;Named Entity
hall-petch relationship;Term
hardening;Term
hardness;Term
hardness testing;Term
Hasan;Named Entity
HEAs;Abb
heat;Term
heat capacity;Term
heat dissipation;Term
heat energy;Term
heat resistance;Term
heat treatment;Term
heat treatments;Term
heat-resistance;Term
heat-treated;Term
helium;Term
helium plasma;Term
helium plasma exposure;Term
high carbon steels;Term
high entropy alloys;Term
high-energy ions;Term
