Words;Status
2FA;Abb
AES;Abb
AIG;Abb
ASCAP;Abb
Accenture;Named Entity
Android;Named Entity
Apple App Store;Named Entity
Axie Infinity;Named Entity
BBC Дүниежүзілік қызметінің;Named Entity
BLOBs;Abb
BTC;Abb
BitVM;Abb
BitVM парадигмасына;Term
BitVM қауымдастығы;Term
Bitfinex Alpha-дағы;Named Entity
Bitlayer;Named Entity
Bitlayer Mainnet V1;Named Entity
Bitlayer-ге;Named Entity
Bitlayer-де;Named Entity
Bitlayer-дің;Named Entity
Bluehole;Named Entity
CENELEC;Abb
CIO;Abb
COVID-19;Named Entity
Cardano;Named Entity
Casper;Named Entity
Chacha20;Named Entity
Chainalysis;Named Entity
Computerworld;Named Entity
Computerworld-те;Named Entity
CryptoKitties;Named Entity
DLC;Abb
DLT;Abb
DNS;Abb
DSO;Abb
DTC;Abb
DeFi;Abb
Diamond Trading Company;Named Entity
Digiconomist;Named Entity
Discord;Named Entity
Discord қауымдастықтарында;Term
ENS;Abb
EOS Mainnet;Named Entity
EOS Nation;Term
EOS Network;Term
EOS Network Foundation;Term
EOSIO;Abb
ETF;Abb
ETH;Abb
EUIPO;Abb
Electronic Arts;Named Entity
EmerDNS;Abb
Epic Games;Named Entity
Ethereum Classic;Named Entity
Ethereum Merge;Named Entity
Ethereum Name Service;Named Entity
Ethereum жаңартулары;Term
Ethereum желісі;Term
Ethereum экожүйесінде;Term
Ethereum үлесі;Term
Ethereum-ның Solidity;Term
Everledger;Named Entity
Explorer сайты;Term
Fair Trade;Named Entity
Financial Times;Named Entity
Food Trust;Named Entity
Food Trust блокчейнін;Named Entity
Forbes;Named Entity
GameFi;Named Entity
Gartner;Named Entity
Google Play Store;Named Entity
HTTP сұрауының;Term
Handshake Network;Named Entity
Hyperledger;Named Entity
Hyperledger Burrow;Named Entity
Hyperledger Fabric;Named Entity
IBM;Abb
IBM Food Trust;Named Entity
IBM-тің блокчейнге негізделген бақылау қызметімен;Named Entity
ICANN;Abb
ICO;Abb
IEEE;Abb
IETF;Abb
ISO 307 Техникалық Комитетін;Named Entity
ITU;Abb
Icertis;Named Entity
Imogen Heap;Named Entity
International Data Corp;Named Entity
IoT;Abb
JPMorgan Chase;Named Entity
JS кітапханасын;Named Entity
KYC;Abb
Khan Academy;Named Entity
Lamport;Named Entity
Lamports;Named Entity
MVCC;Abb
Magic Eden;Named Entity
Mercedes-Benz;Named Entity
Monax;Named Entity
Monero;Named Entity
Mycelia;Named Entity
NEN;Abb
NFT;Abb
NFT жинақтарыңызды;Term
NFT негізіндегі ойындар;Term
NFTs;Abb
NIST;Abb
NXT;Abb
Namecoin;Named Entity
New York Times;Named Entity
Nxt қауымдастығы;Named Entity
OASIS;Abb
OKX Ventures;Named Entity
On-chain деректеріне;Term
OpenNIC;Named Entity
Oracle;Named Entity
Oracle 21c;Named Entity
Oracle 21c дерекқорында;Named Entity
Ordinals;Named Entity
Ordinals сауда қауымдастығын;Named Entity
P2E;Abb
P2P;Abb
PRS for Music;Named Entity
PUBG;Abb
Pfizer;Named Entity
Phantom;Named Entity
Play-to-earn;Term
PoW;Abb
Polkadot;Named Entity
Polygon;Named Entity
PricewaterhouseCoopers;Named Entity
Pump.fun;Named Entity
PwC;Abb
QR кодтарымен;Term
Quorum;Named Entity
REST API;Named Entity
RSA;Term
Runes;Named Entity
Rust;Named Entity
STO;Abb
SWIFT;Abb
Siemens;Named Entity
Solana;Named Entity
Solana Labs;Term
Solana Labsw;Named Entity
Solana желісі;Term
Solana экожүйесінде;Term
Solana әмиян;Term
Solana's Wallet-Adapter;Named Entity
Standards Australia;Named Entity
Steam;Named Entity
Steam цифрлық дүкен;Named Entity
Surety;Named Entity
TLD;Abb
TPS;Abb
Take Two Interactive;Named Entity
Taproot;Named Entity
The Handshake Network;Named Entity
The Wall Street Journal;Named Entity
Tracer;Named Entity
Türkiye;Named Entity
UBS;Abb
UNECE;Abb
US;Abb
Ubisoft;Named Entity
Unilever;Named Entity
Unstoppable Domains;Named Entity
Valve;Named Entity
Valve корпорациясы;Named Entity
VanEck;Named Entity
Visa;Named Entity
Wallet Guard;Named Entity
Walmart;Named Entity
Web 3.0;Named Entity
Web3 жобалары;Term
Web3 ойын;Term
Web3 технологиялық;Term
Web3 экожүйесіне;Term
Web3 қауіпсіздік кеңейтімдері;Term
Web3 қызметтері;Term
YouTube;Named Entity
borsh;Term
byte array;Term
defi әмиян;Term
ethereum блокчейн;Term
exsat;Named Entity
krafton;Named Entity
proof-of-stake;Term
proof-of-work;Term
sol;Abb
web3;Named Entity
Адам Бэк;Named Entity
Азия;Named Entity
Америка Құрама Штаттары;Named Entity
Аппараттық әмияндар;Term
Аргентина;Named Entity
Асимметриялық шифрлау;Term
Асыл тауарларды өндіру;Named Entity
АҚШ;Abb
АҚШ Мұражай және кітапхана қызметтері институтының;Named Entity
АҚШ-тың Бағалы Қағаздар және Биржалар жөніндегі Комиссиясы;Named Entity
Батыс;Named Entity
Беренберг;Named Entity
Берклидегі;Named Entity
Билл Гейтс;Named Entity
Биржа Қорлары;Named Entity
Биржалық трейдерлер;Term
Биткоин Ordinals;Named Entity
Биткоин Биржа Қорлары;Named Entity
Биткоин ақ қағазын;Term
Биткоиндер;Term
Биткоиннің дизайны;Term
Блокатон;Named Entity
Блокчейн дерекқордағы;Term
Блокчейн ойыны;Term
Блокчейн технологияларын;Term
Блокчейн қауіпсіздігінің;Term
Бунданг-гу;Named Entity
Біріккен Ұлттар Ұйымының Еуропалық экономикалық комиссиясы;Named Entity
БҚ;Abb
БҚжБжК;Abb
Бүйірлік тізбектер;Term
В. Скотт Сторнетта;Named Entity
Вегнер;Named Entity
Гана;Named Entity
Германия;Named Entity
ДК;Abb
Джанет Йеллен;Named Entity
Джесси А Эллис;Named Entity
Дора Юэ;Named Entity
Дэвид Чаум;Named Entity
Дэйв Байер;Named Entity
Дэйв Байердің;Named Entity
Дүниежүзілік банкаралық қаржылық телекоммуникациялар қоғамы;Named Entity
Есептік жазбалар;Term
Еуропалық Одақ;Named Entity
Жалған Web3 сайттары;Term
Жапонияда;Named Entity
Жеке транзакциялар;Term
Жеңіл блокчейндер;Term
Жібек жолы;Named Entity
ЖҚҚ;Abb
Зак Андерсон;Named Entity
Ив Ла Роуз;Named Entity
Инвесторлардың Көңіл-күйі;Named Entity
Интернет-инженерлік жұмыс тобы;Named Entity
Калифорния;Named Entity
Капитал Нарығы;Term
Капитал Нарығы Кеңесі;Named Entity
Кембридж университеті;Named Entity
Кембридж университетінің;Named Entity
