Token,BIO1
Блокчейн,B
"

",O
Блокчейн,B
-бұл,O
криптографиялық,B
хэштер,I
арқылы,O
бір,O
-,O
бірімен,O
сенімді,O
байланысқан,O
жазбалардың,B
(,O
блоктардың,B
),O
үнемі,O
өсіп,O
келе,O
жатқан,O
тізімдері,B
бар,O
таратылған,O
тізілім,O
.,O
Әрбір,O
блокта,B
алдыңғы,B
блоктың,I
криптографиялық,B
хэші,I
",",O
уақыт,B
белгісі,I
және,O
транзакция,B
деректері,I
бар,O
(,O
әдетте,O
деректер,B
түйіндері,I
жапырақтармен,O
ұсынылған,O
Меркл,O
ағашы,O
ретінде,O
ұсынылған,O
),O
.,O
Әрбір,O
блокта,B
алдыңғы,B
блок,I
туралы,O
ақпарат,O
болғандықтан,O
",",O
олар,O
шын,O
мәнінде,O
тізбекті,B
құрайды,O
(,O
байланыстырылған,O
тізім,B
деректерінің,O
құрылымымен,O
салыстырыңыз,O
),O
",",O
мұнда,O
әрбір,O
келесі,O
блок,B
алдыңғы,B
блоктармен,I
байланысты,O
.,O
Нәтижесінде,O
блокчейндегі,B
транзакциялар,B
қайтымсыз,O
",",O
өйткені,O
олар,O
жазылғаннан,O
кейін,O
кез,O
-,O
келген,O
блоктағы,B
деректерді,O
барлық,O
келесі,O
блоктарды,B
өзгертпестен,O
ретроактивті,O
түрде,O
өзгерту,O
мүмкін,O
емес,O
.,O
"

",O
Блокчейндерді,B
әдетте,O
тең,O
-,O
теңімен,O
(,O
P2P,B
),O
компьютерлік,B
желі,I
басқарады,O
және,O
жалпыға,O
ортақ,O
таратылған,O
тізілім,O
ретінде,O
пайдаланылады,B
",",O
мұнда,O
түйіндер,B
жаңа,B
транзакция,I
блоктарын,I
қосу,O
және,O
тексеру,O
үшін,O
консенсус,B
алгоритмінің,I
протоколын,B
бірлесіп,O
орындайды,O
.,O
Блокчейн,B
жазбалары,I
өзгермейтін,O
болса,O
да,O
",",O
блокчейн,B
форктары,I
мүмкін,O
болғандықтан,O
",",O
блокчейндер,B
дизайн,O
бойынша,O
қауіпсіз,B
деп,O
саналуы,O
мүмкін,O
және,O
Византия,O
ақауларына,O
төзімділігі,O
жоғары,B
таратылған,I
есептеу,I
жүйесін,I
көрсетеді,O
.,O
[,O
5,O
],O
"

",O
Блокчейнді,B
2008,O
жылы,O
Сатоши,B
Накамото,I
есімімен,O
(,O
немесе,O
бүркеншік,O
атымен,O
),O
Стюарт,B
Хабер,I
",",O
В.,O
Скотт,O
Сторнетта,B
және,O
Дэйв,B
Байердің,I
алдыңғы,O
жұмыстарына,O
негізделген,O
Bitcoin,O
криптовалюта,B
транзакциялары,I
үшін,O
жалпыға,O
ортақ,O
таратылған,O
тізілім,O
ретінде,O
пайдалану,B
үшін,O
адам,O
(,O
немесе,O
адамдар,O
тобы,O
),O
жасаған,O
.,O
[,O
6,O
],O
Bitcoin,O
-,O
де,B
блокчейнді,B
енгізу,O
оны,O
сенімді,O
органға,O
немесе,O
орталық,B
серверге,O
мұқтаж,O
болмай,O
-,O
ақ,B
екі,O
есе,B
жұмсау,O
мәселесін,O
шешкен,O
алғашқы,O
цифрлық,B
валютаға,I
айналдырды,O
.,O
Биткоиннің,B
дизайны,I
басқа,O
қосымшаларды,O
[,O
3,O
],O
[,O
2,B
],O
және,O
көпшілікке,O
оқуға,O
болатын,O
және,O
криптовалюталар,B
кеңінен,O
қолданатын,O
блокчейндерді,B
шабыттандырды,O
.,O
Блокчейнді,B
рельстік,O
төлем,B
жүйесінің,O
бір,O
түрі,O
деп,O
санауға,O
болады,O
.,O
[,O
7,O
],O
"

",O
Бизнесте,O
пайдалану,B
үшін,O
жеке,B
блокчейндер,I
ұсынылады,O
.,O
Computerworld,B
мұндай,O
жекешелендірілген,B
блокчейндердің,I
маркетингін,O
тиісті,O
қауіпсіздік,B
моделінсіз,O
"""",O
жылан,O
майы,O
"""",O
деп,O
атады,O
[,O
8,O
],O
",",O
алайда,O
басқалары,O
рұқсат,B
етілген,I
блокчейндер,I
",",O
егер,O
олар,O
мұқият,O
жобаланған,O
болса,O
",",O
шешілмегендерге,O
қарағанда,O
орталықтандырылмаған,O
",",O
сондықтан,O
іс,O
жүзінде,O
қауіпсіз,B
болуы,O
мүмкін,O
деп,O
сендірді,O
.,O
[,O
4,O
],O
[,O
9,O
],O
"


",O
Тарихы,O
"

",O
Күніне,O
Bitcoin,O
",",O
Ethereum,B
және,O
Litecoin,O
желісіндегі,B
транзакциялар,B
саны,O
(,O
қаңтар,O
2011-қаңтар,O
2021,O
),O
"

",O
Криптограф,B
Дэвид,B
Чаум,I
алғаш,O
рет,O
1982,O
жылғы,O
диссертациясында,O
блокчейнге,B
ұқсас,I
протоколды,I
ұсынды,O
"""",O
Өзара,O
күдікті,O
топтар,O
орнатқан,O
",",O
қолдайтын,O
және,O
сенетін,O
компьютерлік,O
жүйелер,O
.,O
[,O
10,O
],O
Криптографиялық,B
қорғалған,O
блокчейн,B
бойынша,O
одан,O
әрі,O
жұмысты,O
1991,O
жылы,O
Стюарт,B
Хабер,I
мен,O
В.Скотт,O
Сторнетта,B
сипаттаған,O
.,O
[,O
4,O
],O
 ,O
[,O
11,O
],O
Олар,O
құжаттардың,O
уақыт,B
белгілерін,I
бұрмалауға,O
болмайтын,O
жүйені,O
енгізгісі,O
келді,O
.,O
1992,O
жылы,O
Хабер,B
",",O
Сторнетта,B
және,O
Дэйв,B
Байер,I
Мерклдің,O
ағаштарын,O
дизайнға,O
енгізді,O
",",O
бұл,O
оның,O
тиімділігін,O
арттырып,O
",",O
бір,O
блокқа,B
бірнеше,O
құжат,O
сертификаттарын,O
жинауға,O
мүмкіндік,O
берді,O
.,O
[,O
4,O
],O
[,O
12,O
],O
Олардың,O
Surety,B
компаниясының,O
атымен,O
",",O
құжат,O
сертификаттарының,O
хэштері,B
1995,O
жылдан,O
бастап,O
апта,O
сайын,O
the,O
New,B
York,I
Times,I
газетінде,O
жарияланады,O
.,O
[,O
13,O
],O
"

",O
Алғашқы,O
орталықтандырылмаған,B
блокчейнді,I
2008,O
жылы,O
Сатоши,B
Накамото,I
есімімен,O
адам,O
(,O
немесе,O
адамдар,O
тобы,O
),O
тұжырымдады,O
.,O
Накамото,B
дизайнды,O
hashcash-қа,O
ұқсас,O
әдісті,O
қолдана,O
отырып,O
",",O
сенімді,B
тарап,I
қол,I
қоймай,O
-,O
ақ,B
блоктардың,B
уақыт,B
белгілерін,I
жасау,O
және,O
тізбекке,B
блоктарды,B
қосу,O
