Words;Status
3D басып шығару материалдары;Term
4D басып шығару;Term
cканерлеуші туннельдік микроскопия;Term
cканерлеуші электронды микроскопия;Term
Fd3m кеңістіктік тобы;Term
M6C типті карбид;Term
M6C қатты карбиді;Term
MC типті карбидтер;Term
MoS2;Abb
R6M5;Abb
адгезия;Term
аддитивті өндіріс;Term
Азот мартенситі;Term
Акустикалық-эмиссиялық бақылау;Term
аморфты металдар;Term
Анизотропия;Term
Аралас майлау;Term
Асқын өткізгіш материалдар;Term
Атомдық қабатты тұндыру;Term
Аустенизация;Term
аққыштық шегі;Term
Басылған кездегі қаттылық;Term
Бейнит;Term
Беттік акустикалық толқындардағы құрылғылар;Term
Беттік керілу;Term
Беттік модификация;Term
Беттік плазмондық резонанс;Term
Беттік сәулелеу;Term
Беттік қажу тозуы;Term
Беттің кедір-бұдырлығын өлшеу;Term
бетінің кедір-бұдырлығы;Term
Биоактивті көзілдірік;Term
Биологиялық ыдырайтын полимерлер;Term
Биоматериалдар;Term
Бу фазалық эпитаксия;Term
бүрку;Term
бұзбайтын бақылау;Term
Бұзу механизмі;Term
Бөлшектермен арматураланған композиттер;Term
Вакуумдық дәнекерлеу;Term
Викерс қаттылық сынағы;Term
Вольфрам бетінің эрозиясы;Term
Вольфрам-молибден болаттары;Term
Гальваникалық коррозия;Term
Гелий плазмасының әсері;Term
Гидрогель материалдары;Term
Гидродинамикалық майлау;Term
Гидротермиялық синтез;Term
Градиентті жабын;Term
Графен;Term
Дендритті кристалдану;Term
Детонациялық бүрку;Term
Детонациялық наноқұрылымды жабын;Term
Деформация механизмдері;Term
Джоуль қыздыру;Term
Диверторға кандидатты материалдар;Term
Динамикалық механикалық талдау;Term
Дислокация динамикасы;Term
Дислокациялық субқұрылымдар;Term
Дислокацияны қатайту;Term
Дисперсиялы қатайту;Term
Диффузиялық қанықтыру процесі;Term
Диффузиялық қосылыс;Term
диэлектрлік материалдар;Term
Дәнекерлеу металлургиясы;Term
Ескіру төзімділігі;Term
Жабынның адгезиясы;Term
жартылай өткізгіштер;Term
жентектеу;Term
Жетілдірілген керамика;Term
Жеңіл қорытпалар;Term
Жоғары деформация жылдамдығын сынау;Term
Жоғары температуралы асқын өткізгіштер;Term
Жоғары энтропиялық қорытпалар;Term
Жоғары өнімді материалдарды іздеу;Term
Жылдам жентектеу әдістері;Term
Жылдам прототиптеу;Term
жылжымалы үйкеліс;Term
Жылу жүктемелері;Term
Жылу интерфейсі материалдары;Term
жылу өткізгіштік;Term
Жұқа пленкалы жабын;Term
Золь-гель процесс;Term
Изотермиялық түрлендіру;Term
Икемді субстраттар;Term
илемдеу;Term
импеданс спектроскопиясы;Term
Индукциялық шыңдау;Term
Инклюзивті талдау;Term
Интерфейсті дамыту;Term
Инфрақызыл спектроскопия;Term
Иондық имплантация;Term
Иілгіш электронды материалдар;Term
Калориметрия;Term
Карбамидті электролит;Term
карбидті бөлшектер;Term
Карбидті фазалар;Term
Кванттық материалдар;Term
Кванттық нүктелер;Term
Керамикалық жабындар;Term
Керамикалық матрицалық композиттер;Term
Кернеулі коррозиялық крекинг;Term
Кеуектілік;Term
Кең жолақты жартылай өткізгіш;Term
Композиттік материалдар;Term
композициялық материал;Term
композициялық материалдар;Term
Кремний диоксиді аэрогельдері;Term
Кремний карбидінің жартылай өткізгіштері;Term
крио фрезерлеу;Term
Криогендік өңдеу;Term
Кристалдардың өсуі;Term
Кристалдық пластиканың ақырлы элементтік әдісі;Term
кристалдық тор;Term
Кристалларалық коррозия;Term
кристаллографиялық құрылым;Term
Критикалық рұқсат етілген ығысу кернеуі;Term
күйдіру;Term
Көлемді металл шынылар;Term
Көміртекті нанотүтікшелер;Term
Көміртекті пластик;Term
Лазерлік балқыту;Term
Лазерлік индукцияланған сыну спектроскопиясы;Term
Лазерлік сәулелер;Term
Лазерлік қатайту;Term
легирлеу;Term
Легирлеуші элементтердің таралуы;Term
Магний қорытпалары;Term
Магнитострикция;Term
Магнитті материалдар;Term
Магниттік жады пішінді қорытпалар;Term
майлау;Term
майлаушы;Term
Мартенсит фазасының компоненттері;Term
Мартенситті түрлендіру;Term
Материалдарды өңдеудегі иондық сұйықтықтар;Term
Материалдарға иондық әсер;Term
Материалдың қажуы;Term
Материалтану саласындағы цифрлық дубль технологиясы;Term
Металл матрицалық композиттер;Term
Металл пенопласт;Term
Металл құю;Term
Металларалық қосылыстар;Term
Металлография;Term
Металлорганикалық қаңқалар;Term
Метастабильді фазалар;Term
Механикалық легирлеу;Term
Механикалық сынақтар;Term
Механохимиялық синтез;Term
Микрозондты талдау;Term
Микролегирлеу;Term
Микротолқынды біріктіру;Term
Микрофлюидтік материалдар;Term
микроэлектромеханикалық жүйелер;Term
Микроқаттылық;Term
Микроқаттылық сынағы;Term
Микроқұрылымның эволюциясы;Term
Микроөңдеу;Term
Минералды мақтамен оқшаулау;Term
молибден дисульфиді;Term
Монокристалды карбидтер;Term
Монте-Карло әдісімен кинетикалық модельдеу;Term
Мөлдір өткізгіш оксидтер;Term
Нано сымдар;Term
нанобөлшектер;Term
Нанобөлшектердің газ фазалық синтезі;Term
