Token,BIO1
   ,O
Реология,B
-әртүрлі,O
кернеулер,O
мен,O
деформациялар,B
жағдайында,O
күрделі,O
сұйықтықтар,O
мен,O
жұмсақ,O
қатты,B
заттардың,O
әрекетін,O
зерттейтін,O
заттың,O
өтімділігі,O
мен,O
деформациясы,B
туралы,O
ғылым,O
.,O
"
   
   ",O
Илемдеу,B
-бұл,O
металды,O
қалыңдығын,O
азайту,O
",",O
ұзындығын,O
ұлғайту,O
және,O
бетінің,O
сапасын,O
жақсарту,O
үшін,O
бір,O
немесе,O
бірнеше,O
жұп,O
орамдардан,O
өткізуді,O
қамтитын,O
металл,B
өңдеу,O
процесі,O
.,O
"
   
    ",O
Құрылыс,B
материалдары,I
-тіндік,O
инженерияда,O
дене,O
өзін,O
-,O
өзі,O
қалпына,O
келтіргенге,O
дейін,O
жаңа,O
тіндердің,O
өсуі,O
мен,O
қалыптасуын,O
қолдау,O
үшін,O
уақытша,O
құрылымдар,O
ретінде,O
қолданылатын,O
материалдар,O
.,O
"
   
   ",O
Сканерлеуші,O
туннельдік,O
микроскопия,B
-ұшы,O
мен,O
беті,O
арасындағы,O
электрондардың,O
кванттық,O
туннельдеуін,O
пайдалана,O
отырып,O
",",O
бетті,O
жақын,O
қашықтықтан,O
сканерлейтін,O
өткір,O
ұшы,O
арқылы,O
атом,O
деңгейіндегі,O
беттердің,O
суреттерін,O
алуға,O
мүмкіндік,O
беретін,O
әдіс,O
.,O
"
   
    ",O
Сегрегация,O
-материалдағы,O
немесе,O
құймадағы,O
легирлеуші,B
элементтердің,O
",",O
қоспалардың,O
немесе,O
фазалардың,O
біркелкі,O
таралмауы,O
.,O
Сеграгация,O
көбінесе,O
микроқұрылым,O
мен,O
қасиеттердің,O
өзгеруіне,O
әкеледі,O
.,O
"
   
   ",O
Қорытпалар,B
жады,I
пішінмен,I
-белгілі,O
бір,O
температураға,O
ұшыраған,O
кезде,O
деформацияланудан,B
кейін,O
бастапқы,O
пішініне,O
оралуы,O
мүмкін,O
қорытпалар,O
желілерде,O
",",O
датчиктерде,O
және,O
медициналық,O
құрылғыларда,O
қолданылады,O
.,O
"
   
   ",O
Жентектелеу,O
-ұнтақ,O
металлургиясында,O
және,O
керамикалық,B
өңдеуде,O
кеңінен,O
қолданылатын,O
берік,O
құрылымды,O
қалыптастыру,O
үшін,O
бөлшектерді,O
біріктіру,O
үшін,O
ұнтақ,O
материалдарды,O
балқу,O
температурасынан,O
төмен,O
қыздыру,O
процесі,O
.,O
"
   
   ",O
Сырғанау,B
жүйелері,I
-кристалдардың,O
пластикалық,O
деформациясын,B
түсіну,O
үшін,O
маңызды,O
болып,O
табылатын,O
дислокациялар,O
кернеу,O
әсерінен,O
қозғалатын,O
сырғанау,O
жазықтықтары,O
мен,O
сырғанау,O
бағыттарының,O
жүйесі,O
.,O
"
   
    ",O
Золь,B
-,I
гель,I
процесс,I
-жеке,O
бөлшектерден,O
немесе,O
торлы,O
полимерлерден,B
біріктірілген,O
тордың,O
(,O
гельдің,O
),O
ізашары,O
ретінде,O
әрекет,O
ететін,O
коллоидты,O
ерітінді,O
(,O
зол,O
),O
түзу,O
арқылы,O
шағын,O
молекулалардан,O
қатты,B
материалдарды,O
алудың,O
дымқыл,O
химиялық,O
әдісі,O
.,O
"

    ",O
Қатты,B
ерітіндімен,I
қатайту,I
